date,region_id,avg_5min_demand,daily_peak,daily_min,total_daily_energy_mwh
2025-02-19,QLD1,6752.785347222222,8501.06,5705.71,486200.545
2025-02-19,SA1,1123.2777083333333,1608.61,203.35,80875.995
2025-02-19,TAS1,929.4126041666667,1116.36,793.67,66917.70749999999
2025-02-19,VIC1,4314.295208333333,5552.13,3325.68,310629.255
2025-02-20,NSW1,7181.177569444444,8691.16,6009.36,517044.785
2025-02-20,QLD1,6526.863958333333,8676.17,5067.99,469934.20499999996
2025-02-20,SA1,1147.1792708333332,1721.56,234.13,82596.9075
2025-02-20,TAS1,1030.2408680555554,1177.1,880.18,74177.3425
2025-02-20,VIC1,4204.501284722222,5527.32,2317.21,302724.09249999997
2025-02-21,NSW1,7057.302708333334,8580.08,5884.4,508125.795
2025-02-21,QLD1,6458.396458333334,8306.24,5169.85,465004.545
2025-02-21,SA1,1279.0709027777777,2009.04,382.66,92093.105
2025-02-21,TAS1,1039.0628472222222,1214.8,907.19,74812.525
2025-02-21,VIC1,4606.594930555556,6917.06,2526.48,331674.83499999996
2025-02-22,NSW1,6721.888298611111,9042.72,4743.34,483975.9575
2025-02-22,QLD1,6044.071354166667,7960.71,4288.3,435173.1375
2025-02-22,SA1,1595.2941666666666,2326.96,947.57,114861.18
2025-02-22,TAS1,950.6446527777778,1145.02,836.78,68446.415
2025-02-22,VIC1,5496.8857638888885,8570.57,3892.86,395775.77499999997
2025-02-23,NSW1,6828.606979166666,9275.89,4416.1,491659.70249999996
2025-02-23,QLD1,6038.732986111111,8351.94,4323.45,434788.77499999997
2025-02-23,SA1,1125.7719791666666,1675.4,218.47,81055.58249999999
2025-02-23,TAS1,978.0513888888889,1080.87,847.13,70419.7
2025-02-23,VIC1,4928.992430555555,6016.79,3806.76,354887.45499999996
2025-02-24,NSW1,7721.346111111111,10003.52,6368.57,555936.9199999999
2025-02-24,QLD1,6838.916006944444,9174.65,5504.07,492401.95249999996
2025-02-24,SA1,1229.0419791666666,1743.43,396.91,88491.02249999999
2025-02-24,TAS1,1019.8215277777779,1188.58,897.88,73427.15
2025-02-24,VIC1,4390.085694444445,5923.07,3045.46,316086.17
2025-02-25,NSW1,7804.903888888889,9048.17,6630.67,561953.08
2025-02-25,QLD1,6678.795798611111,8893.92,5442.14,480873.2975
2025-02-25,SA1,1378.2359375,2232.37,521.55,99232.9875
2025-02-25,TAS1,1064.248576388889,1269.14,926.16,76625.89749999999
2025-02-25,VIC1,4516.619965277778,6532.76,2909.64,325196.63749999995
2025-02-26,NSW1,7793.705,10445.46,6327.83,561146.76
2025-02-26,QLD1,6427.736944444444,8628.66,5067.37,462797.05999999994
2025-02-26,SA1,1466.6739583333333,2130.1,778.29,105600.525
2025-02-26,TAS1,1036.6313541666666,1180.05,933.87,74637.45749999999
2025-02-26,VIC1,5172.374201388889,7552.0,3796.64,372410.94249999995
2025-02-27,NSW1,8408.187569444444,11224.86,6929.43,605389.5049999999
2025-02-27,QLD1,6510.143611111112,8731.9,5101.75,468730.33999999997
2025-02-27,SA1,1508.428576388889,2197.79,749.02,108606.8575
2025-02-27,TAS1,1102.3515625,1286.1,973.02,79369.3125
2025-02-27,VIC1,4855.700972222222,6918.96,3266.24,349610.47
2025-02-28,NSW1,8848.676770833334,12210.48,6957.86,637104.7275
2025-02-28,QLD1,6449.115763888888,8586.64,4903.47,464336.33499999996
2025-02-28,SA1,1520.7865972222223,2120.35,846.9,109496.63500000001
2025-02-28,TAS1,1034.1181944444445,1189.7,915.33,74456.51
2025-02-28,VIC1,4750.062986111111,6568.21,3712.48,342004.535
2025-03-01,NSW1,8156.728013937282,11631.84,6023.48,585245.235
2025-03-01,QLD1,6236.28299651568,8249.23,4687.86,447453.305
2025-03-01,SA1,1195.0319512195122,1661.82,361.29,85743.5425
2025-03-01,TAS1,1006.0010801393729,1137.19,891.23,72180.5775
2025-03-01,VIC1,4011.550557491289,5444.76,2404.18,287828.75249999994
